Country	Station Name	Period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
AFGHANISTAN, ISLAMIC STATE OF	Bust	1958-1983	26.2	27.5	29.2	8.4	2.5	0.0	0.3	0.1	0.0	2.0	3.9	14.9
AFGHANISTAN, ISLAMIC STATE OF	Kandahar	1960-1983	54.0	42.0	41.1	18.7	2.2	0.0	2.3	1.0	0.0	2.3	7.0	20.0
ALGERIA	SKIKDA	1961-1990	115.3	94.0	75.6	60.8	29.9	13.1	2.9	9.7	30.1	75.0	99.2	123.0
ALGERIA	ANNABA (Les Salines)	1961-1990	92.7	74.9	67.7	50.1	30.7	14.8	2.8	8.0	30.0	71.7	74.4	95.5
ALGERIA	ALGER ( dar el beida )	1961-1990	80.0	81.8	73.4	61.1	39.9	16.7	4.6	7.4	34.2	76.0	96.4	115.2
ALGERIA	BEJAIA	1969-1990	99.7	85.9	100.4	70.7	41.2	16.2	5.8	13.0	40.4	89.5	99.7	135.0
ALGERIA	CONSTANTINE (Ain El Bey)	1961-1990	66.6	58.3	61.8	53.2	41.5	20.9	8.9	12.2	36.4	38.4	43.5	71.1
ALGERIA	CHLEF	1961-1990	43.4	56.7	39.3	39.9	34.0	10.5	1.8	6.0	11.5	51.3	53.0	61.9
ALGERIA	MILIANA	1969-1990	120.5	124.0	112.3	71.3	47.9	16.8	5.8	7.1	29.6	68.9	103.3	119.8
ALGERIA	BATNA	1972-1990	24.9	29.3	38.0	31.7	32.0	20.1	7.5	17.7	37.3	27.3	31.7	28.7
ALGERIA	TEBESSA	1966-1990	27.1	30.3	44.8	30.6	36.5	31.2	11.3	25.1	29.4	23.6	29.0	23.6
ALGERIA	ORAN ( es senia )	1961-1990	47.2	45.5	43.6	43.3	29.5	8.4	1.7	1.9	12.5	31.1	43.9	61.6
ALGERIA	BISKRA	1966-1990	12.1	8.6	12.0	10.4	12.7	5.9	1.9	6.1	23.1	16.0	18.5	7.3
ALGERIA	DJELFA	1972-1990	33.4	32.4	38.1	30.8	36.1	29.7	9.4	18.6	25.7	25.1	37.2	30.9
ALGERIA	EL OUED ( guemmar )	1967-1990	10.7	9.3	9.9	7.0	5.6	2.0	0.1	1.1	5.3	7.8	9.4	7.0
ALGERIA	GHARDAIA	1964-1990	7.9	4.7	6.6	7.4	4.4	2.3	0.3	1.1	4.8	7.1	12.1	3.0
ALGERIA	BECHAR	1961-1990	10.2	8.0	6.2	9.7	6.6	2.4	0.9	1.9	5.9	10.1	10.8	8.7
ALGERIA	HASSI MESSAOUD	1962-1990	7.0	4.4	7.9	3.7	2.3	0.9	0.8	0.8	1.9	4.8	4.9	4.4
ALGERIA	EL GOLEA	1961-1990	4.8	2.4	5.3	1.7	1.9	0.7	0.1	0.2	1.0	2.5	5.4	6.2
ALGERIA	BENI ABBES	1967-1990	3.1	1.9	1.6	2.4	2.3	0.4	0.5	1.1	1.9	8.6	6.7	6.1
ALGERIA	TIMIMOUN	1965-1990	2.2	1.8	2.3	2.2	1.4	0.1	0.0	0.2	0.6	2.6	0.9	1.7
ALGERIA	IN AMENAS	1961-1990	2.5	1.5	3.7	1.2	2.0	1.3	0.0	0.5	1.1	3.7	2.4	3.3
ALGERIA	ADRAR	1965-1990	2.3	1.3	2.6	4.1	0.3	0.1	0.0	0.2	0.2	1.5	0.6	1.4
ALGERIA	IN SALAH	1964-1990	3.7	3.5	1.2	1.6	0.5	0.1	0.0	0.5	0.2	1.2	0.5	2.7
ALGERIA	DJANET	1969-1990	0.6	1.3	2.5	1.1	1.1	1.8	0.1	0.2	2.0	2.0	0.5	1.5
ALGERIA	TAMANRASSET	1961-1990	1.2	1.3	2.6	1.8	6.2	3.9	4.8	5.6	8.3	3.2	2.1	1.8
ARGENTINA	LA QUIACA OBS	1961-1990	79.6	68.0	48.4	9.4	0.7	0.6	0.0	0.6	2.8	16.5	30.1	77.9
ARGENTINA	ORAN AERO	1961-1990	193.4	167.0	146.7	81.3	22.5	9.2	6.1	6.4	10.7	51.2	92.0	154.4
ARGENTINA	SALTA AERO	1961-1990	182.0	162.9	118.3	36.6	8.6	2.6	3.5	4.2	6.6	26.1	65.3	138.0
ARGENTINA	RIVADAVIA	1961-1990	128.1	97.7	91.3	64.4	16.7	10.9	4.4	4.1	13.6	42.9	76.6	115.3
ARGENTINA	LAS LOMITAS	1961-1990	125.4	109.7	112.1	92.3	49.8	21.6	12.2	20.8	31.7	53.9	107.1	125.9
ARGENTINA	SANTIAGO DEL ESTERO AERO	1961-1990	135.5	111.3	83.3	37.2	16.7	6.2	3.7	4.5	13.8	33.2	67.6	96.1
ARGENTINA	PRESIDENCIA R S PE%A AERO	1961-1990	149.7	131.7	141.3	136.5	55.8	24.3	22.9	24.7	42.1	82.7	125.1	121.4
ARGENTINA	FORMOSA AERO	1963-1990	171.2	142.4	151.7	153.3	105.6	66.8	49.6	60.1	85.1	120.7	171.0	146.8
ARGENTINA	CORRIENTES AERO	1961-1990	176.4	147.1	163.6	174.2	98.0	62.0	50.1	56.5	74.8	120.7	145.5	121.2
ARGENTINA	POSADAS AERO	1961-1990	156.4	157.3	142.5	154.8	140.5	131.6	103.6	111.9	141.0	177.7	156.5	150.9
ARGENTINA	LA RIOJA AERO	1961-1990	80.1	71.6	54.1	18.4	7.4	2.6	3.1	5.2	6.5	12.7	43.3	56.6
ARGENTINA	VILLA MARIA DEL RIO SECO	1961-1990	139.5	134.4	137.6	68.1	24.5	18.5	16.4	14.7	33.6	56.0	95.7	126.8
ARGENTINA	CERES AERO	1961-1990	138.8	121.7	133.9	80.5	27.7	21.0	18.8	23.1	48.2	71.6	104.0	127.9
ARGENTINA	RECONQUISTA AERO	1961-1990	152.9	157.7	175.6	148.0	68.5	49.6	39.7	32.9	67.9	131.7	130.2	136.1
ARGENTINA	PASO DE LOS LIBRES AERO	1961-1990	135.4	144.4	163.3	170.2	123.1	81.9	90.4	84.1	133.8	151.5	143.4	117.0
ARGENTINA	CHAMICAL AERO	1961-1990	94.1	79.3	67.7	18.4	7.1	2.6	4.8	4.0	12.4	22.2	57.4	78.6
ARGENTINA	CHEPES	1961-1990	87.9	75.9	46.1	12.1	5.6	4.5	6.5	6.1	14.5	20.4	40.0	69.3
ARGENTINA	VILLA DOLORES AERO	1961-1990	119.1	91.3	75.6	35.1	11.2	9.9	10.5	8.1	25.5	38.7	66.8	118.4
ARGENTINA	CORDOBA AERO	1961-1990	133.3	109.7	116.1	51.1	21.5	11.8	14.3	11.4	38.2	73.1	107.3	148.7
ARGENTINA	CORDOBA OBS	1961-1990	121.7	99.8	110.3	52.2	18.9	11.4	12.8	9.7	33.8	66.4	96.6	136.9
ARGENTINA	PILAR OBS	1961-1990	137.7	104.2	100.2	52.3	17.9	13.0	15.9	9.2	39.7	63.4	94.3	143.5
ARGENTINA	RAFAELA INTA	1961-1990	121.1	130.1	150.5	82.0	42.0	24.0	23.6	24.6	57.1	82.8	102.8	118.8
ARGENTINA	PARANA AERO	1961-1990	126.3	127.0	155.9	101.6	51.6	34.0	33.6	35.6	69.1	106.4	115.1	112.9
ARGENTINA	MONTE CASEROS AERO	1961-1990	142.4	160.1	158.2	137.5	103.3	71.6	80.8	69.0	103.8	140.3	145.6	129.8
ARGENTINA	CONCORDIA AERO	1963-1990	121.9	140.1	154.6	132.4	101.4	79.0	73.9	73.4	100.4	122.3	140.3	115.7
ARGENTINA	MENDOZA AERO	1961-1990	36.4	34.1	27.3	12.7	5.9	4.1	6.7	3.3	7.8	11.1	15.9	24.4
ARGENTINA	MENDOZA OBS	1961-1990	37.6	43.0	31.4	12.9	8.0	6.1	8.3	4.8	12.1	17.5	20.6	28.8
ARGENTINA	SAN LUIS AERO	1961-1990	109.7	86.9	91.2	42.2	11.6	8.9	10.8	8.1	19.2	35.9	77.4	101.3
ARGENTINA	VILLA REYNOLDS AERO	1961-1990	114.9	81.9	96.1	43.3	20.6	13.3	16.5	15.8	28.1	58.6	81.2	112.2
ARGENTINA	RIO CUARTO AERO	1961-1990	123.9	86.3	120.0	47.4	23.5	16.7	12.6	15.5	42.3	86.2	121.0	143.9
ARGENTINA	MARCOS JUAREZ AERO	1961-1990	118.9	111.5	120.7	61.2	36.1	26.4	25.9	20.0	55.0	94.8	99.2	130.4
ARGENTINA	ROSARIO AERO	1961-1990	104.5	116.4	164.6	79.7	46.7	36.6	36.8	36.7	61.6	91.8	98.3	120.0
ARGENTINA	PERGAMINO INTA	1961-1990	113.9	118.8	142.8	71.8	47.0	30.8	40.7	39.3	58.1	120.1	95.7	93.2
ARGENTINA	GUALEGUAYCHU AERO	1961-1990	113.7	123.3	132.9	85.0	70.5	52.6	55.7	56.3	74.3	100.9	101.5	98.9
ARGENTINA	MALARG E AERO	1961-1990	24.0	29.5	24.5	14.5	21.1	35.0	36.9	16.1	21.1	19.4	22.1	26.6
ARGENTINA	SAN RAFAEL AERO	1961-1990	52.0	42.5	39.1	20.9	9.0	12.5	10.7	13.7	27.7	24.6	44.0	44.6
ARGENTINA	GENERAL PICO AERO	1961-1990	114.7	99.5	119.9	71.0	31.9	21.0	21.5	22.9	47.8	80.4	100.5	101.7
ARGENTINA	LABOULAYE AERO	1961-1990	108.8	107.1	143.2	71.1	28.8	20.2	16.5	19.7	38.4	76.9	107.8	108.7
ARGENTINA	PEHUAJO AERO	1961-1990	105.2	112.2	137.1	82.0	42.6	32.1	26.1	29.2	58.7	112.4	107.0	100.7
ARGENTINA	JUNIN AERO	1961-1990	129.9	104.9	161.3	82.6	44.6	28.8	35.7	34.8	54.8	106.3	109.6	100.1
ARGENTINA	NUEVE DE JULIO	1961-1990	128.0	121.0	138.3	101.5	47.3	39.6	43.9	44.6	65.3	110.0	103.9	110.3
ARGENTINA	EZEIZA AERO	1961-1990	91.5	100.8	110.4	84.4	71.8	48.5	56.8	58.4	62.0	108.5	98.0	93.2
ARGENTINA	AEROPARQUE B. AIRES AERO	1961-1990	98.4	107.6	125.4	88.6	71.1	55.5	62.0	66.7	65.8	110.5	104.8	96.6
ARGENTINA	BUENOS AIRES	1961-1990	119.0	117.6	134.1	97.0	73.6	62.6	66.3	69.8	73.3	119.0	108.6	105.0
ARGENTINA	LA PLATA AERO	1961-1990	97.1	103.1	117.9	73.9	73.8	54.6	58.3	65.6	73.6	111.3	93.0	84.8
ARGENTINA	PUNTA INDIO BASE AERONAV	1961-1990	76.8	85.5	99.0	83.5	62.5	46.7	66.7	66.8	64.7	88.3	98.6	81.9
ARGENTINA	SANTA ROSA AERO	1961-1990	74.1	74.8	91.7	52.7	27.7	16.3	18.7	23.3	41.8	70.2	101.0	93.5
ARGENTINA	AZUL AERO	1961-1990	114.5	92.0	131.2	85.1	61.9	41.6	44.8	44.8	60.8	97.7	93.9	105.0
ARGENTINA	DOLORES AERO	1961-1990	106.7	91.9	89.2	73.0	61.6		60.3	54.1		92.8	86.8	
ARGENTINA	PIGE AERO	1961-1990	71.7	79.4	96.0	84.2	43.5	26.1	25.4	23.6	50.1	89.7	92.1	90.2
ARGENTINA	MAR DEL PLATA AERO	1961-1990	100.1	72.8	107.0	73.3	73.5	54.9	58.9	64.0	56.4	83.4	75.3	104.0
ARGENTINA	NEUQUEN AERO	1961-1990	15.7	14.6	26.6	15.7	12.3	16.3	14.7	11.0	16.7	18.6	9.7	13.6
ARGENTINA	BAHIA BLANCA AERO	1961-1990	61.8	67.1	89.6	62.9	32.7	25.5	29.6	27.9	45.3	70.4	61.8	70.8
ARGENTINA	BARILOCHE AERO	1961-1990	22.2	21.7	29.2	53.5	134.0	140.7	128.7	115.6	57.8	38.8	24.8	32.0
ARGENTINA	MAQUINCHAO	1961-1990	14.7	19.1	23.1	15.2	22.3	18.6	17.4	14.1	11.3	13.9	12.9	14.1
ARGENTINA	SAN ANTONIO OESTE AERO I	1961-1987	20.8	22.9	26.4	22.3	24.3	17.0	20.3	19.2	12.9	23.3	18.8	19.8
ARGENTINA	ESQUEL AERO	1961-1990	22.4	17.9	20.8	38.0	78.9	85.9	73.5	57.7	37.8	25.9	19.5	25.9
ARGENTINA	TRELEW AERO	1961-1990	11.9	16.8	18.5	16.7	19.5	14.1	19.0	13.6	11.4	16.6	14.0	14.1
ARGENTINA	COMODORO RIVADAVIA AERO	1961-1990	16.2	15.0	20.7	23.3	31.7	25.3	28.7	25.0	12.3	14.9	10.6	15.0
ARGENTINA	PUERTO DESEADO AERO	1961-1990	21.3		15.9	25.4	30.2	24.6	27.0	15.8	13.1		9.5	14.1
ARGENTINA	LAGO ARGENTINO AERO	1961-1990	12.5	7.8	13.8	25.4	30.6	21.3	25.8	21.1	15.8	12.3	9.1	13.9
ARGENTINA	RIO GALLEGOS AERO	1961-1990	33.2	21.2	18.6	21.5	23.5	18.4	19.3	11.7	11.5	16.9	21.7	24.7
ARGENTINA	USHUAIA AERO I	1961-1988	39.0	45.2	52.3	56.1	53.4	48.3	36.4	45.2	41.7	35.0	34.6	42.5
ARGENTINA (ANTARCTIC STATIONS)	BASE ESPERANZA	1961-1990	56.2	65.0	75.5	59.1	54.4	47.4	54.1	72.1	62.2	56.4	65.0	59.0
ARGENTINA (ANTARCTIC STATIONS)	BASE ORCADAS	1961-1990	43.9	73.5	73.0	73.4	62.6	52.1	44.8	51.6	48.0	48.2	44.7	46.4
ARMENIA	YEREVAN/ZVARTNOTS	1961-1990	21.1	24.0	32.4	36.5	42.5	20.5	10.2	7.2	10.4	26.7	22.3	22.8
AUSTRALIA	ALBANY (ALBANY TOWN)	1961-1965	23.5	23.0	31.6	98.9	135.1	136.3	200.4	117.5	89.1	96.0	37.9	23.0
AUSTRALIA	ESPERANCE (ESPERANCE POST OFFICE)	1961-1969	31.5	19.2	35.2	48.9	80.4	88.3	129.3	109.4	68.1	51.3	19.3	17.9
AUSTRALIA	TENNANT CRK POST OFFICE WAS 014050	1961-1970	80.8	73.6	60.4	6.7	19.2	2.4	4.6	2.4	4.5	14.3	11.8	40.6
AUSTRALIA	LONGREACH POST OFFICE	1961-1973	53.1	65.9	80.2	41.2	20.2	12.9	10.0	15.1	9.1	19.6	22.3	84.1
AUSTRALIA	ESSENDON AIRPORT AMO	1961-1972	55.2	43.1	46.3	54.2	62.1	33.4	49.8	51.7	47.4	51.5	42.7	57.5
AUSTRALIA	LORD HOWE ISLAND	1961-1988	91.3	107.1	116.2	118.9	155.4	161.3	155.5	140.8	123.1	104.5	120.0	104.5
AUSTRALIA	LORD HOWE ISLAND	1988-1990	160.0	53.8	132.8	148.0	119.1	162.5	162.5	205.9	129.1	134.3	130.6	90.5
AUSTRALIA	DARWIN AIRPORT	1961-1990	436.6	342.5	341.8	85.2	29.0	1.7	1.0	7.7	18.7	75.8	131.3	233.9
AUSTRALIA	THURSDAY ISLAND MO	1961-1990	429.7	375.0	378.4	216.5	40.3	21.5	9.4	6.8	3.9	12.6	37.9	238.7
AUSTRALIA	BROOME (BROOME AMO)	1961-1990	204.3	163.5	105.2	19.2	24.1	16.1	2.5	1.9	1.7	1.8	8.9	47.9
AUSTRALIA	HALLS CREEK (HALLS CREEK A.M.O.)	1961-1990	150.1	122.1	89.2	22.2	12.8	4.2	4.7	2.3	6.1	16.4	35.1	73.3
AUSTRALIA	TENNANT CREEK MO	1969-1990	98.4	94.8	65.8	17.0	8.3	6.9	6.9	2.2	10.7	20.9	32.6	60.9
AUSTRALIA	CAIRNS AMO	1961-1990	396.9	422.1	448.9	224.5	107.1	49.7	25.6	22.3	33.4	43.6	100.0	190.3
AUSTRALIA	TOWNSVILLE AMO	1961-1990	243.8	232.0	176.3	60.8	40.5	20.5	10.7	13.7	10.4	25.2	54.7	147.8
AUSTRALIA	WILLIS ISLAND M.O.	1961-1990	194.1	193.7	179.6	121.5	90.1	52.2	31.8	30.1	13.5	19.5	31.9	103.5
AUSTRALIA	CARNARVON (CARNARVON AMO)	1961-1990	18.7	18.7	13.4	13.9	34.7	47.4	41.4	18.7	5.8	6.9	5.9	0.6
AUSTRALIA	LEARMONTH (LEARMONTH AMO)	1975-1990	19.4	23.9	32.5	15.6	42.0	35.4	26.5	17.2	3.0	2.7	3.1	0.4
AUSTRALIA	ONSLOW (ONSLOW AMO)	1961-1975	67.6	94.9	90.9	18.2	61.2	56.5	16.6	15.4	2.9	1.4	3.3	1.7
AUSTRALIA	PORT HEDLAND (PORT HEDLAND AMO)	1961-1990	64.1	100.0	47.8	24.1	26.5	20.0	8.0	4.8	0.9	0.9	1.9	16.9
AUSTRALIA	ALICE SPRINGS AMO WAS 015002	1961-1990	42.1	37.4	51.7	16.9	18.3	14.0	16.3	11.7	10.9	19.3	27.3	35.9
AUSTRALIA	MOUNT ISA AIRPORT	1966-1990	95.6	86.1	65.1	16.5	16.6	2.6	9.2	4.8	8.0	19.7	24.0	62.3
AUSTRALIA	CLONCURRY AMO	1961-1975	107.8	97.8	77.9	26.8	10.8	6.2	2.2	3.7	5.8	8.1	20.6	52.7
AUSTRALIA	LONGREACH AMO	1966-1990	70.5	72.6	49.7	40.7	31.9	13.9	23.4	14.0	8.3	17.7	25.8	48.4
AUSTRALIA	MACKAY MO	1961-1990	268.5	302.4	312.3	154.1	115.2	63.7	48.3	29.3	15.1	39.0	88.3	197.1
AUSTRALIA	ROCKHAMPTON AMO	1961-1990	124.2	119.9	109.4	51.4	58.7	35.4	32.2	29.9	26.6	46.5	77.5	125.0
AUSTRALIA	GERALDTON (GERALDTON AMO)	1961-1990	7.0	14.3	18.5	25.0	75.3	111.9	88.4	66.5	31.7	20.0	12.0	4.8
AUSTRALIA	MEEKATHARRA (MEEKATHARRA AMO)	1961-1990	25.6	30.1	22.3	17.4	26.5	36.3	24.8	12.1	6.0	6.7	13.8	11.4
AUSTRALIA	DISTRICT 13 (GILES M.O)	1961-1990	31.1	44.4	40.8	15.8	17.8	16.8	7.6	10.2	11.3	13.6	22.3	29.2
AUSTRALIA	TIBOOBURRA POST OFFICE	1961-1990	48.6	26.9	26.4	20.1	23.7	13.3	18.6	12.3	12.6	18.2	12.0	23.0
AUSTRALIA	CHARLEVILLE AMO	1961-1990	70.5	56.7	58.9	34.1	41.3	18.8	24.3	22.1	21.3	30.7	42.1	52.6
AUSTRALIA	AMBERLEY AERO	1961-1990	169.0	147.8	139.9	104.1	97.4	73.8	68.0	46.2	33.1	104.6	109.6	131.7
AUSTRALIA	BRISBANE AMO	1961-1990	169.0	147.8	139.9	104.1	97.4	73.8	68.0	46.2	33.1	104.6	109.6	131.7
AUSTRALIA	BELMONT (PERTH AIRPORT MO)	1961-1990	9.2	14.1	15.6	47.2	103.4	168.1	158.3	111.4	71.2	46.1	22.8	9.4
AUSTRALIA	KALGOORLIE (KALGOORLIE AMO)	1961-1990	25.8	21.9	20.3	22.7	32.9	34.0	25.5	20.3	12.8	18.3	19.9	16.2
AUSTRALIA	ESPERANCE (ESPERANCE MO)	1969-1990	14.7	26.5	24.4	49.4	80.7	82.6	101.2	85.4	53.4	51.0	35.6	16.9
AUSTRALIA	FORREST (FORREST AMO)	1961-1990	13.1	18.2	19.1	16.9	17.8	16.9	13.3	14.3	17.1	15.9	14.2	17.1
AUSTRALIA	CEDUNA AMO	1961-1990	9.5	13.9	20.1	20.1	34.7	31.5	40.2	34.6	28.2	21.8	18.5	16.7
AUSTRALIA	WOOMERA AMO	1961-1990	16.9	21.1	14.9	13.1	23.8	13.8	16.5	14.1	16.4	15.3	17.8	13.0
AUSTRALIA	ADELAIDE AIRPORT COMPOSITE	1961-1990	18.8	19.7	21.6	38.1	56.7	50.3	66.6	50.7	40.5	37.4	22.5	24.6
AUSTRALIA	NURIOOTPA VITICULTURAL	1961-1990	20.9	20.2	24.4	41.3	55.5	51.5	67.8	63.4	58.4	48.6	27.9	24.0
AUSTRALIA	MILDURA AIRPORT AMO	1961-1990	21.6	16.4	20.8	24.2	27.5	21.5	26.2	28.7	27.8	28.1	21.9	22.3
AUSTRALIA	BOURKE POST OFFICE	1961-1990	51.4	38.6	36.6	35.0	40.8	19.0	28.1	23.1	21.6	25.5	25.8	27.0
AUSTRALIA	COBAR MO	1962-1990	49.7	32.4	42.3	33.0	36.5	25.9	29.6	32.6	23.2	36.0	31.7	37.7
AUSTRALIA	DUBBO (COOREENA RD)	1961-1990	68.5	54.8	54.8	48.5	56.1	37.5	47.9	48.4	48.6	60.2	51.5	53.4
AUSTRALIA	NOWRA RAN AIR STATION	1961-1990	102.6	117.7	145.0	122.8	86.3	105.7	48.7	81.5	61.6	101.7	114.4	79.4
AUSTRALIA	RICHMOND AMO/MO CLOSED 1946-1953	1961-1990	105.4	96.4	95.8	79.2	61.5	60.5	33.9	58.6	41.7	66.0	88.7	70.3
AUSTRALIA	SYDNEY AIRPORT OBS.OFFICE MO	1961-1990	115.6	112.5	147.8	120.5	88.0	128.3	54.4	90.0	59.8	78.6	101.1	80.7
AUSTRALIA	SYDNEY REGIONAL OFFICE	1961-1990	130.5	126.1	163.5	132.9	100.6	140.0	56.3	98.6	64.6	88.0	116.2	84.8
AUSTRALIA	WILLIAMTOWN AMO	1961-1990	112.0	111.0	129.6	118.8	105.1	121.5	63.6	70.3	58.1	82.7	76.3	82.7
AUSTRALIA	COFFS HARBOUR MO WAS 059112	1961-1990	186.9	194.9	241.2	215.4	176.8	125.5	62.7	66.1	61.6	103.4	135.5	143.1
AUSTRALIA	ALBANY (ALBANY A.M.O.)	1965-1990	27.7	25.3	29.0	64.7	103.3	102.7	122.6	104.5	81.2	77.1	47.1	23.5
AUSTRALIA	MOUNT GAMBIER AERO AMO	1961-1990	24.7	19.8	36.1	51.9	68.3	80.8	103.3	90.7	71.3	59.3	45.8	37.5
AUSTRALIA	LAVERTON AERO AMO	1961-1990	44.6	43.3	35.1	50.5	55.3	37.2	43.2	50.7	48.4	61.9	49.3	49.4
AUSTRALIA	MELBOURNE AIRPORT	1970-1990	43.9	41.6	36.8	48.8	48.7	38.5	38.7	51.4	46.1	59.0	63.2	47.8
AUSTRALIA	MELBOURNE REGIONAL OFFICE	1961-1990	47.1	45.8	43.5	52.7	67.8	42.5	48.8	57.4	53.0	65.2	56.9	58.1
AUSTRALIA	EAST SALE AMO	1961-1990	48.6	30.4	57.1	52.9	63.8	41.9	43.4	49.4	52.8	55.2	58.4	57.7
AUSTRALIA	WAGGA AMO WAS 074112	1961-1990	47.0	33.5	40.3	50.1	60.5	41.5	55.3	58.7	49.8	58.3	40.7	48.7
AUSTRALIA	CANBERRA AMO	1961-1990	54.2	57.5	53.5	53.1	44.8	29.7	41.2	51.0	55.7	65.3	64.7	52.4
AUSTRALIA	GABO ISLAND	1961-1990	69.4	58.4	74.8	91.5	95.6	87.5	91.8	80.9	75.6	71.2	86.0	82.1
AUSTRALIA	LOW HEAD LIGHTHOUSE	1961-1990	30.1	31.0	48.9	61.1	66.7	62.7	86.5	75.7	59.3	51.9	47.7	49.6
AUSTRALIA	LAUNCESTON AIRPORT WSO	1961-1990	34.0	35.3	45.9	51.9	63.7	59.4	75.4	78.3	59.5	56.0	46.9	51.5
AUSTRALIA	HOBART REGIONAL OFFICE	1961-1990	40.8	38.6	44.6	43.8	46.0	37.2	60.1	60.3	49.9	58.2	52.8	54.2
AUSTRALIA	HOBART AIRPORT AMO	1961-1990	38.1	36.0	40.0	38.9	40.3	29.7	49.9	47.8	39.9	50.3	46.9	55.1
AUSTRALIA	LORD HOWE ISLAND AMO	1961-1988	91.3	107.1	116.2	118.9	155.4	161.3	155.5	140.8	123.1	104.5	120.0	104.5
AUSTRALIA	NORFOLK ISLAND (A) M.O.	1961-1990	82.6	95.1	106.6	137.7	121.5	159.9	123.5	115.2	102.2	84.8	97.2	88.3
AUSTRALIA	MACQUARIE ISLAND WAS 200374E	1961-1990	78.9	81.6	91.0	90.7	74.7	70.8	69.0	62.6	71.1	71.9	70.0	73.6
AUSTRALIA	COCOS ISLAND A.M.O.	1961-1990	205.7	172.8	248.7	250.0	186.8	208.9	197.1	118.4	84.1	50.9	98.5	116.6
AUSTRALIA (ANTARCTIC STATIONS)	DAVIS	1961-1990	1.7	6.3	9.6	10.6	11.9	8.6	6.5	4.5	2.8	4.6	1.9	2.9
AUSTRIA	St. Plten	1961-1990	34.0	38.0	42.0	56.0	73.0	87.0	93.0	81.0	54.0	37.0	49.0	43.0
AUSTRIA	Wien-Hohe Warte	1961-1990	38.0	42.0	41.0	51.0	61.0	74.0	63.0	58.0	45.0	41.0	50.0	43.0
AUSTRIA	Sonnblick	1961-1990	258.0	215.0	234.0	254.0	217.0	250.0	249.0	226.0	179.0	130.0	197.0	262.0
